"Time (s) Run #4","Temperature (°C) Run #4"
64.200,93.7
64.250,93.7
64.300,93.7
64.350,93.7
64.400,93.7
64.450,93.7
64.500,93.7
64.550,93.7
64.600,93.7
64.650,93.7
64.700,93.7
64.750,93.7
64.800,93.7
64.850,93.7
64.900,93.7
64.950,93.7
65.000,93.7
65.050,93.7
65.100,93.7
65.150,93.7
65.200,93.7
65.250,93.7
65.300,93.7
65.350,93.7
65.400,93.7
65.450,93.7
65.500,93.7
65.550,93.7
65.600,93.7
65.650,93.7
65.700,93.7
65.750,93.7
65.800,93.7
65.850,93.7
65.900,93.7
65.950,93.7
66.000,93.7
66.050,93.7
66.100,93.7
66.150,93.7
66.200,93.7
66.250,93.7
66.300,93.7
66.350,93.7
66.400,93.7
66.450,93.7
66.500,93.7
66.550,93.7
66.600,93.7
66.650,93.7
66.700,93.7
66.750,93.7
66.800,93.7
66.850,93.7
66.900,93.7
66.950,93.7
67.000,93.7
67.050,93.7
67.100,93.7
67.150,93.7
67.200,93.7
67.250,93.7
67.300,93.7
67.350,93.7
67.400,93.7
67.450,93.7
67.500,93.7
67.550,93.7
67.600,93.7
67.650,93.7
67.700,93.7
67.750,93.7
67.800,93.7
67.850,93.7
67.900,93.7
67.950,93.7
68.000,93.7
68.050,93.7
68.100,93.7
68.150,93.7
68.200,93.7
68.250,93.7
68.300,93.7
68.350,93.7
68.400,93.7
68.450,93.7
68.500,93.7
68.550,93.7
68.600,93.7
68.650,93.7
68.700,93.7
68.750,93.7
68.800,93.7
68.850,93.7
68.900,93.7
68.950,93.7
69.000,93.7
69.050,93.7
69.100,93.7
69.150,93.7
69.200,93.7
69.250,93.7
69.300,93.7
69.350,93.7
69.400,93.7
69.450,93.7
69.500,93.7
69.550,93.7
69.600,93.7
69.650,93.7
69.700,93.7
69.750,93.7
69.800,93.7
69.850,93.7
69.900,93.7
69.950,93.7
70.000,93.7
70.050,93.7
70.100,93.7
70.150,93.7
70.200,93.7
70.250,93.7
70.300,93.7
70.350,93.7
70.400,93.7
70.450,93.7
70.500,93.7
70.550,93.7
70.600,93.7
70.650,93.7
70.700,93.7
70.750,93.7
70.800,93.7
70.850,93.7
70.900,93.7
70.950,93.7
71.000,93.7
71.050,93.7
71.100,93.7
71.150,93.7
71.200,93.7
71.250,93.7
71.300,93.7
71.350,93.7
71.400,93.6
71.450,93.6
71.500,93.6
71.550,93.7
71.600,93.7
71.650,93.6
71.700,93.7
71.750,93.6
71.800,93.7
71.850,93.6
71.900,93.6
71.950,93.6
72.000,93.6
72.050,93.6
72.100,93.7
72.150,93.6
72.200,93.7
72.250,93.6
72.300,93.6
72.350,93.6
72.400,93.6
72.450,93.6
72.500,93.6
72.550,93.6
72.600,93.6
